OS NameSpace	OS Deployment Config	BitBucket Project	Bit Bucket Repo	OS Image
order-processing-services	moob	MOOX	moob.git	docker-registry.default.svc:5000/order-processing-services/moob@sha256:5fc89a471326dcde6cddad680f8461823fc94e29c7cf41832770a7bca47e488b
order-processing-services	mooc	MOOX	mooc.git	docker-registry.default.svc:5000/order-processing-services/mooc@sha256:8a778820b62efbfeba3189b5e0cef5dd49111f0118fb7a9fc57d768676cd20e7
order-processing-services	moogb	MOOX	moogb.git	docker-registry.default.svc:5000/order-processing-services/moogb@sha256:7926ccd9b33bc7da9327b84525d4ace4a5c386edf558fea1a6e452b606738a60
order-processing-services	moos2	MOOX	moos2.git	docker-registry.default.svc:5000/order-processing-services/moos2@sha256:b413ee56f7297df3c5eee4e9403dfb114bed52787c0a619b1ff6d6bd0bfbe5b7
order-processing-services	mooxadmin	MOOX	admin.git	docker-registry.default.svc:5000/order-processing-services/mooxadmin@sha256:ac240bf334f136dc3d5177a7b67c4e10d9b3f9ce1747fa4bb9503c789a76b5fc
order-processing-services	mooxdatabase	MOOX	mooxdatabase.git	docker-registry.default.svc:5000/order-processing-services/mooxdatabase@sha256:44d017bb1993c6c12934bc4d8a7cc02ea0cb2af925568386a017b097758c4643
order-processing-services	mooxdatabasemanager	MOOX	mooxdatabasemanager.git	docker-registry.default.svc:5000/order-processing-services/mooxdatabasemanager@sha256:b324cfad3a44dc32cad88c70d642aa8ee51086cb9eaac47dadb4d0f16ec45f9a
order-processing-services	msgproxy	MOOX	mooamessagingproxy.git	docker-registry.default.svc:5000/order-processing-services/msgproxy@sha256:cbcdf15ff5f761e8052bf11d3ac94f7ceb29ed0722e816da0f7445ba8673d38a
order-processing-services	orderlookup	MOOX	orderlookup.git	docker-registry.default.svc:5000/order-processing-services/orderlookup@sha256:f8965773a171dc0e48ab5c5fc542def23a6dfa2be894fa29e241df9c600b4b3a
order-processing-services	orderrouter	MOOX	orderrouter.git	docker-registry.default.svc:5000/order-processing-services/orderrouter@sha256:487879c82f87441895fc6e3e36b5e33bfd87add165aed9837185c889e5ecb5b9
order-processing-services	ordertool	MOOX	ordertool.git	docker-registry.default.svc:5000/order-processing-services/ordertool@sha256:bba475360fa5d66c2c88db3e82bbd9a2fa90d14d823debcf402d698c38e0f0b0
order-processing-services	snfproxy	MOOX	snfproxy.git	docker-registry.default.svc:5000/order-processing-services/snfproxy@sha256:55fd84567ef16a7ace808cda467fceba71200375be5fe927504012580dd19562
payment-services	cache-service	pay	cache-service.git	docker-registry.default.svc:5000/payment-services/cache-service@sha256:655c169ea2e71b8f34f2e02c81a77ddb26cc84120a73d98b9ae6473f80650791
payment-services	cpa-admin-ui-v1	PAY	cpa-admin-ui-v1.git	docker-registry.default.svc:5000/payment-services/cpa-admin-ui-v1@sha256:171edcf5b47192d782bcbe768b7e269ad1179123a2bf6d5b669f6235c91aba7a
payment-services	cpa-charge-and-content-delivery-service-v1	PAY	cpa-charge-and-content-delivery-service-v1.git	docker-registry.default.svc:5000/payment-services/cpa-charge-and-content-delivery-service-v1@sha256:8434c9ab1bc118d81313de8f9e7c6d14507eb7f380d5965ea3e51b480777ab53
payment-services	cpa-charge-and-refund-service-v1	PAY	cpa-charge-and-refund-service-v1.git	docker-registry.default.svc:5000/payment-services/cpa-charge-and-refund-service-v1@sha256:6fcc932a6355148893261ed905e194897e6a9486f62a6a62c69eefdfe1f8a77d
payment-services	cpa-customer-and-subscription-info-v1	PAY	cpa-customer-and-subscription-info-v1.git	docker-registry.default.svc:5000/payment-services/cpa-customer-and-subscription-info-v1@sha256:26b7a9ad1419003dc669e6dd198c7bcef960e6cf59f73c3417d4bd588336263d
payment-services	cpa-deferred-billing-scheduler-v1	PAY	cpa-deferred-billing-scheduler-v1.git	docker-registry.default.svc:5000/payment-services/cpa-deferred-billing-scheduler-v1@sha256:d215aa82f2b7ef99079a20c0ea95cf11b9f2e13c9244311b347e93458aca9263
payment-services	cpa-limit-management-ui-v1	PAY	cpa-limit-management-ui-v1.git	docker-registry.default.svc:5000/payment-services/cpa-limit-management-ui-v1@sha256:9363fbba52c25c1e990fa2156f38cdb17b430bedce2f1e9a987f4a37492af979
payment-services	cpa-notification-cp-mock	PAY	cpa-notification-cp-mock.git	docker-registry.default.svc:5000/payment-services/cpa-notification-cp-mock@sha256:2a4b2bacce73e9823c9319823fa18158b7bc5f11b9ced409b596b6ec47af485e
payment-services	cpa-notification-service-v1	PAY	cpa-notification-service-v1.git	docker-registry.default.svc:5000/payment-services/cpa-notification-service-v1@sha256:a58a00baee01dbc7f94950c767ced7dcb5746ddcf3a521c706cf045e5b5037d8
payment-services	cpa-order-service-cp-mock	PAY	cpa-order-service-cp-mock.git	docker-registry.default.svc:5000/payment-services/cpa-order-service-cp-mock@sha256:7e7906a350f881bcfb7273cc2f784b1ea3a1f40e01d0486f9dc2c26b1362cabc
payment-services	cpa-order-service-v1	PAY	cpa-order-service-v1.git	docker-registry.default.svc:5000/payment-services/cpa-order-service-v1@sha256:03286324ebe90d1984f5b03a827e3347676d58c3ad1f4d08b03a4d23d5f7a560
payment-services	cpa-prepaid-charging-service-v1	pay	cpa-prepaid-charging-service-v1.git	docker-registry.default.svc:5000/payment-services/cpa-prepaid-charging-service-v1@sha256:c24fb32e1d04c10560dc9a691c3df2b4eef8769586259e4e22995cb1fe99acd2
payment-services	cpa-prepaid-charging-service-v2	PAY	cpa-prepaid-charging-service-v2.git	docker-registry.default.svc:5000/payment-services/cpa-prepaid-charging-service-v2@sha256:c6417a5962383800fb1144b828cc1a5376101bb898324629973b968aa60eb58f
payment-services	cpa-resend-failed-orders-and-notifications-service-v1	PAY	cpa-resend-failed-orders-and-notifications-service-v1.git	docker-registry.default.svc:5000/payment-services/cpa-resend-failed-orders-and-notifications-service-v1@sha256:bf88341c8398c578ca2b34105a42ea0ef3d026ac2921e93f6f3c93fc0949a030
